KEY,METRIC_1,METRIC_2,METRIC_3,METRIC_4,METRIC_5,METRIC_6,METRIC_7,METRIC_8,METRIC_9,METRIC_10,avg_metric
11070118400,1.02,0.11,12950.44,7.47,0.048,0.09,0.044,0.327,38.64,0.54,1299.87
11070120600,0.91,0.13,9196.81,4.65,0.045,0.071,0.032,0.318,34.72,0.5,923.82
11070122800,1.08,0.11,12012.16,2.17,0.048,0.07,0.029,0.314,33.43,0.44,1204.99
11070125000,0.8,0.09,16281.76,5.34,0.047,0.072,0.029,0.307,34.29,0.51,1632.32
11070128300,0.66,0.15,6272.64,4.98,0.049,0.092,0.026,0.353,24.32,0.69,630.4
11071017100,1.67,0.12,292.41,0.12,0.172,0.011,0.003,0.435,3.66,0.0,29.86
11071020400,1.95,0.26,384.16,3.18,0.093,0.027,0.006,0.368,3.15,0.21,39.34
11071034700,1.92,0.7,72.25,3.01,0.042,0.032,0.005,0.308,1.39,0.25,7.99
11071135900,2.37,0.21,201.64,0.92,0.133,0.007,0.004,0.344,5.34,0.29,21.13
11071157900,3.12,0.34,216.09,3.76,0.122,0.016,0.003,0.39,3.33,0.31,22.75
11071159000,3.27,0.36,7.29,0.63,0.123,0.011,0.002,0.445,3.3,0.2,1.56
11071196400,2.46,0.16,979.69,0.39,0.188,0.011,0.004,0.498,3.84,0.0,98.72
11071223900,2.06,0.8,56.25,1.14,0.048,0.059,,0.324,1.39,0.24,6.92
11071431800,2.42,0.27,492.84,11.24,0.133,0.013,0.003,0.35,3.0,0.0,51.03
11071810200,1.28,0.35,132.25,3.41,0.089,0.073,0.012,0.36,2.86,0.19,14.09
11071814600,2.84,0.3,100.0,6.37,0.203,0.033,0.013,0.373,4.94,0.15,11.52
11084046600,2.83,0.09,136.89,3.45,0.401,0.013,0.009,0.515,5.25,0.0,14.94
11084064200,1.45,0.16,38.44,1.15,0.114,0.035,0.011,0.349,4.79,0.0,4.65
11112862200,2.46,0.14,53.29,0.52,0.226,0.012,0.014,0.315,2.35,0.0,5.93
11112888600,5.59,0.49,4.41,1.15,0.21,0.036,0.017,0.316,1.03,0.43,1.37
11127090700,1.72,0.05,372.49,13.85,0.42,0.015,0.005,0.449,7.93,0.0,39.69
11127092900,3.24,0.29,436.81,11.0,0.231,0.042,0.005,0.486,1.49,0.27,45.39
11127094000,1.27,0.08,5476.0,0.56,0.181,0.033,0.006,0.391,0.96,0.0,547.95
11135212000,2.51,0.16,39.69,2.56,0.239,0.01,0.009,0.328,2.74,0.0,4.82
11135268100,9.3,0.14,54.76,6.7,0.545,0.02,0.011,0.517,7.37,0.0,7.94
11135350600,1.11,0.09,1069.29,8.53,0.128,0.013,0.004,0.39,4.16,0.21,108.39
11135544200,2.2,0.29,106.09,4.08,0.174,0.089,0.007,0.541,1.17,0.0,11.46
11142566600,4.49,0.33,84.64,1.04,0.239,0.028,0.005,0.387,4.68,0.11,9.59
11147411000,0.24,0.06,40925.29,6.9,0.052,0.096,0.018,0.323,15.53,0.0,4094.85
11147412100,0.75,0.03,128307.24,1.61,0.049,0.073,0.013,0.351,20.05,0.0,12833.02
11147413200,0.31,0.09,16796.16,4.88,0.051,0.074,0.02,0.327,13.34,0.29,1681.55
11147414300,1.31,0.22,3069.16,5.36,0.063,0.174,0.018,0.538,4.95,0.49,308.23
11147415400,0.65,0.07,31258.24,4.22,0.063,0.117,0.017,0.325,10.2,0.0,3127.39
11147416500,0.6,0.08,20967.04,0.87,0.056,0.079,0.017,0.327,12.44,0.15,2098.17
11147417600,0.58,0.09,16078.24,1.26,0.063,0.147,0.031,0.332,10.09,0.0,1609.08
11147419800,1.0,0.07,28730.25,6.68,0.048,0.068,0.018,0.32,11.96,0.26,2875.07
11147422000,0.58,0.14,7638.76,1.68,0.061,0.135,0.015,0.414,7.58,0.41,764.98
11150312800,0.75,0.23,691.69,0.43,0.033,0.047,0.01,0.364,4.68,0.33,69.86
11157713600,1.59,0.07,222.01,3.85,0.271,0.029,0.012,0.393,2.58,0.0,23.08
11157714700,1.66,0.16,153.76,6.13,0.149,0.095,0.026,0.336,1.67,0.0,16.4
11157718000,0.64,0.07,187.69,1.26,0.122,0.053,0.013,0.381,3.67,0.0,19.39
11157735600,3.16,0.25,15.21,4.0,0.159,0.029,0.017,0.303,0.75,0.0,2.39
11157736700,3.26,0.29,108.16,10.15,0.185,0.074,0.04,0.31,0.72,0.0,12.32
11157737800,1.32,0.09,515.29,2.8,0.172,0.044,0.031,0.317,0.0,0.0,52.01
11157738900,1.48,0.06,1169.64,3.92,0.153,0.036,0.028,0.322,0.0,0.0,117.56
11157740000,3.61,0.41,53.29,3.61,0.182,0.068,,0.291,0.48,0.0,6.88
11157742200,1.34,0.05,1489.96,3.08,0.146,0.04,0.019,0.342,0.0,0.0,149.5
11157744400,0.87,0.08,686.44,8.35,0.13,0.024,0.022,0.311,1.07,0.0,69.73
11157745500,1.6,0.09,529.0,9.29,0.143,0.033,0.021,0.315,0.73,0.0,54.12
11157746600,3.36,0.16,39.69,6.25,0.263,0.012,0.012,0.305,0.0,0.0,5.01
11160389900,2.33,0.86,12.25,2.73,0.048,0.018,0.008,0.346,2.25,0.43,2.13
11162045400,2.51,0.22,718.24,17.47,0.181,0.011,0.004,0.332,1.77,0.0,74.07
11163432500,2.15,0.16,372.49,2.79,0.143,0.03,0.005,0.504,1.88,0.0,38.02
11163433600,2.24,0.22,190.44,2.97,0.138,0.035,0.005,0.575,2.28,0.0,19.89
11163434700,1.51,0.14,445.21,2.71,0.141,0.037,0.005,0.551,2.35,0.0,45.27
11163489700,1.26,0.2,98.01,4.58,0.15,0.031,0.01,0.321,5.96,0.0,11.05
11163500700,0.72,0.11,313.29,2.58,0.104,0.022,0.01,0.334,19.97,0.0,33.71
11171081900,2.15,0.09,125.44,2.88,0.325,0.018,0.007,0.471,3.3,0.0,13.47
11172816600,3.38,0.23,169.0,2.02,0.164,0.01,,0.444,3.51,0.2,19.88
11187479600,1.1,0.16,342.25,2.26,0.048,0.096,0.015,0.352,16.29,0.0,36.26
11187487300,1.2,0.18,289.0,2.36,0.045,0.079,0.018,0.304,18.3,0.2,31.17
11187488400,1.09,0.23,176.89,1.8,0.048,0.104,0.017,0.347,15.24,0.18,19.59
11187489500,2.74,0.48,158.76,1.52,0.109,0.042,0.005,0.393,1.67,0.13,16.58
11187500500,0.53,0.17,313.29,1.97,0.064,0.13,0.014,0.33,9.22,0.0,32.57
11187506000,0.61,0.37,268.96,2.19,0.057,0.154,0.013,0.339,10.56,0.2,28.35
11187507100,0.8,0.17,320.41,2.24,0.058,0.191,0.02,0.311,4.48,0.0,32.87
11187514800,0.14,0.08,1428.84,1.47,0.048,0.101,0.018,0.337,8.18,0.0,143.92
11187520300,0.73,0.08,20420.41,3.07,0.046,0.095,0.022,0.309,10.89,0.0,2043.57
11187523600,0.5,0.16,361.0,0.65,0.065,0.156,0.021,0.354,4.57,0.0,36.75
11187524700,0.86,0.05,331.24,0.71,0.055,0.104,0.02,0.324,11.13,0.0,34.45
11187525800,0.42,0.1,104.04,0.0,0.054,0.134,0.018,0.384,7.63,0.0,11.28
11187526900,1.03,0.11,12432.25,6.55,0.047,0.098,0.017,0.308,7.4,0.0,1244.78
11187528000,0.68,0.09,134.56,0.59,0.053,0.162,0.061,0.318,10.73,0.0,14.72
11195717500,3.52,0.22,761.76,7.72,0.216,0.019,0.004,0.497,2.59,0.0,77.65
11195723000,2.21,0.1,2714.41,25.08,0.284,0.01,0.005,0.401,5.82,0.0,274.83
11195724100,2.53,0.05,4212.01,68.21,0.419,0.016,0.016,0.354,6.45,0.0,429.01
11196519400,3.96,0.16,146.41,6.38,0.359,0.011,0.004,0.456,1.41,0.0,15.92
11196522700,3.05,0.1,979.69,4.5,0.299,0.015,0.008,0.374,3.68,0.0,99.17
11197820700,2.22,0.15,416.16,2.01,0.218,0.021,0.006,0.421,1.97,0.33,42.35
11199202300,3.71,0.21,90.25,8.17,0.242,0.019,0.008,0.438,1.16,0.25,10.45
11199205600,2.08,0.38,110.25,5.67,0.106,0.081,0.021,0.354,1.8,0.76,12.15
11200280300,3.79,0.39,231.04,0.99,0.192,0.043,0.008,0.409,2.6,0.14,23.96
11203094100,1.86,0.09,110.25,0.93,0.23,0.021,0.005,0.78,1.96,0.0,11.61
11204208400,0.94,0.06,2275.29,0.28,0.037,0.141,0.015,0.343,7.15,0.0,228.43
11204209500,0.77,0.03,12882.25,0.43,0.035,0.096,,0.409,4.75,0.0,1432.09
11204211700,0.68,0.03,11025.0,0.63,0.037,0.105,0.008,0.444,4.29,0.0,1103.12
11204212800,0.5,0.02,26146.89,0.91,0.036,0.074,0.01,0.432,7.72,0.0,2615.66
11204217200,0.5,0.07,1681.0,1.85,0.048,0.072,0.029,0.313,97.95,0.0,178.18
11204218300,0.84,0.21,207.36,2.96,0.056,0.103,0.034,0.308,43.88,0.43,25.62
11204220500,0.13,0.06,2391.21,1.46,0.049,0.104,0.034,0.299,109.48,0.0,250.28
11204222700,0.46,0.05,3387.24,3.31,0.05,0.118,0.029,0.317,99.15,0.0,349.07
11204224900,0.58,0.11,778.41,1.56,0.051,0.075,0.038,0.304,87.95,0.43,86.95
11204227100,0.48,0.1,841.0,3.27,0.05,0.092,0.035,0.307,94.74,0.38,94.05
11204230400,1.07,0.06,2819.61,2.15,0.052,0.084,0.024,0.318,97.11,0.0,292.05
